Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Pk_save%,PSxG,PSxG/SoT,PSxG+/-,/90,launch_cmp,launch_att,launch_cmp%,pass_att,Thr,launch_pass%,pass_avglen,Gk_att,Gk_launched%,Gk_avglen,Stp,Stp%,#OPA,#OPA/90,AvgDist
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,,5,0.27,0,0,13,31,41.9,56,12,33.9,33.1,26,46.2,36,1,2.1,6,1.5,17.5
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,12,1080,12,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,50,12.3,0.29,-0.7,-0.06,54,147,36.7,321,54,27.4,30.3,70,84.3,54.9,8,5.5,24,2,19.1
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,36,3240,36,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,,24.4,0.25,1.4,0.04,114,258,44.2,1216,211,16.5,26.3,172,33.1,33.4,22,6.5,89,2.47,18.7
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,,1.2,0.39,0.2,0.17,9,28,32.1,26,3,69.2,46.3,14,71.4,48.5,1,6.7,0,0,5.5
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,,3.2,0.25,1.2,0.3,8,29,27.6,117,29,19.7,26.4,21,28.6,27.6,2,4.5,8,2,18.8
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,6,540,6,9,1.5,28,19,71.4,2,2,2,0,0,1,1,0,0,8.9,0.28,-0.1,-0.01,15,52,28.8,170,38,21.2,28,56,28.6,32.2,3,2.9,14,2.33,16.8
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,29,29,2560,28.4,48,1.69,130,82,63.8,7,5,15,5,17.2,2,1,1,50,43.1,0.32,-3.9,-0.14,203,472,43,786,120,41.7,36.3,212,67.9,47.6,22,5.3,25,0.88,13.5
Daniel Bachmann,AUT,GK,Watford,Premier League,27,1994,12,12,1080,12,28,2.33,72,46,65.3,1,0,11,0,0,3,3,0,0,23.2,0.3,-2.8,-0.23,71,207,34.3,275,47,53.8,40.9,87,67.8,47.8,7,3.7,12,1,16.1
Édgar Badía,ESP,GK,Elche,La Liga,29,1992,24,24,2160,24,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,12.5,37.3,0.26,2.3,0.1,182,408,44.6,618,106,41.9,36.1,210,71,49.2,17,4.3,41,1.71,16.2
Nicola Bagnolini,ITA,GK,Bologna,Serie A,17,2004,1,0,3,0,0,0,1,1,100,0,0,0,1,,0,0,0,,0.2,0.19,0.2,5.78,0,4,0,3,0,100,61,1,100,60,0,0,0,0,
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,19,2001,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0,2,2,0,0,13.2,0.39,0.2,0.04,28,75,37.3,141,40,34,31.6,44,61.4,46.3,4,4.9,11,1.94,17.1
Francesco Bardi,ITA,GK,Bologna,Serie A,29,1992,2,2,177,2,2,1.02,9,7,77.8,0,1,0,0,0,0,0,0,,2.7,0.3,0.7,0.37,5,19,26.3,35,6,40,33,13,38.5,32.1,2,8.3,0,0,5.5
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31,1990,33,33,2970,33,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,33.3,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29,216,24.5,28.8,27,6.4,65,1.97,16.7
Asmir Begović,BIH,GK,Everton,Premier League,34,1987,3,3,270,3,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,4.2,0.18,-2.8,-0.94,20,62,32.3,54,5,74.1,48.9,31,71,51.3,3,6,2,0.67,10.7
Vid Belec,SVN,GK,Salernitana,Serie A,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,25,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,12,3.6,14,0.65,12.7
Walter Benítez,ARG,GK,Nice,Ligue 1,28,1993,37,37,3330,37,35,0.95,141,105,78,20,7,10,14,37.8,5,4,1,20,42.6,0.27,7.6,0.21,145,378,38.4,774,169,30.2,30.5,260,55.4,43,31,6.2,33,0.89,13.6
Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,30,1991,1,1,90,1,3,3,7,4,57.1,0,1,0,0,0,0,0,0,,2.3,0.38,-0.7,-0.66,4,19,21.1,23,4,52.2,39.7,7,100,58.7,0,0,0,0,
Etrit Berisha,ALB,GK,Torino,Serie A,32,1989,10,10,900,10,8,0.8,41,32,85.4,3,4,3,4,40,3,2,1,33.3,10.2,0.18,2.2,0.22,53,188,28.2,240,37,50,39.4,78,87.2,58.6,7,4.7,10,1,14.6
Paul Bernardoni,FRA,GK,Saint-Étienne,Ligue 1,24,1997,19,19,1710,19,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,31.4,0.29,-3.6,-0.19,87,304,28.6,443,119,46.5,37,136,72.1,49.3,19,9.6,56,2.95,18.8
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,23,1998,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,16,0.25,-4,-0.43,46,129,35.7,226,55,38.5,33.8,86,48.8,38.5,8,6.3,4,0.43,11.7
Marco Bizot,NED,GK,Brest,Ligue 1,30,1991,38,38,3420,38,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,51,0.28,-4,-0.1,290,624,46.5,877,205,43.1,37.4,328,75,53.1,16,3,34,0.89,14.1
Yassine Bounou,MAR,GK,Sevilla,La Liga,30,1991,31,31,2790,31,24,0.77,100,75,78,14,13,4,13,41.9,4,2,1,33.3,26.6,0.24,2.6,0.09,152,378,40.2,829,116,30.2,33.1,241,53.1,41.2,27,6.4,24,0.77,12.8
Claudio Bravo,CHI,GK,Betis,La Liga,38,1983,17,17,1456,16.2,19,1.17,56,39,67.9,8,4,4,5,29.4,1,1,0,0,18.6,0.31,1.6,0.1,109,272,40.1,405,53,51.9,39.9,99,62.6,47.9,6,2.4,9,0.56,11
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,26,1995,4,4,360,4,7,1.75,24,17,70.8,0,2,2,0,0,0,0,0,,6.7,0.28,-0.3,-0.07,10,22,45.5,92,22,20.7,26.8,37,8.1,19.6,2,3,4,1,17.8
Sascha Burchert,GER,GK,Greuther Fürth,Bundesliga,31,1989,14,14,1260,14,28,2,72,46,65.3,2,4,8,3,21.4,3,3,0,0,23,0.28,-3,-0.22,120,326,36.8,441,49,52.2,41.1,115,83.5,55.9,8,3.6,24,1.71,17.2
Roman Bürki,SUI,GK,Dortmund,Bundesliga,30,1990,1,1,90,1,1,1,1,0,100,1,0,0,0,0,1,1,0,0,1,0,0,-0.01,0,7,0,20,3,30,28.1,3,33.3,34.3,0,0,5,5,27.3
Jack Butland,ENG,GK,Crystal Palace,Premier League,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,100,9.7,0.31,-1.3,-0.16,25,93,26.9,221,40,28.5,29.8,66,45.5,36.3,11,7.9,7,0.82,11.2
Marcin Bułka,POL,GK,Nice,Ligue 1,21,1999,1,1,90,1,1,1,5,4,80,0,0,1,0,0,0,0,0,,1.7,0.35,0.7,0.73,1,3,33.3,17,6,11.8,19.2,7,14.3,24.9,1,7.1,1,1,22.5
Willy Caballero,ARG,GK,Southampton,Premier League,39,1981,2,2,180,2,5,2.5,11,6,54.5,0,1,1,0,0,0,0,0,,3.3,0.31,-1.7,-0.85,17,36,47.2,47,0,51.1,38.4,13,92.3,56.5,1,3,4,2,14
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,27,1994,19,17,1542,17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,27.5,0.3,-2.5,-0.15,103,276,37.3,286,87,44.8,38.9,168,88.1,58.5,10,3.8,13,0.76,12.8
Cárdenas,ESP,GK,Levante,La Liga,24,1997,24,24,2160,24,46,1.92,120,74,65,6,6,12,5,20.8,4,4,0,0,41.5,0.31,-4.5,-0.19,92,296,31.1,525,85,41.9,36.6,198,38.4,35.7,10,3,26,1.08,15.6
Kiko Casilla,ESP,GK,Elche,La Liga,34,1986,14,14,1260,14,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,,17.2,0.29,0.2,0.01,75,218,34.4,348,77,42.5,36.4,136,51.5,40.8,8,3.7,15,1.07,15.2
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,29,1992,28,28,2520,28,40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,40,42,0.32,2,0.07,165,370,44.6,873,135,30.6,32.3,204,50.5,42.1,31,7.5,30,1.07,14.8
Leonardo César Jardim,BRA,GK,Lille,Ligue 1,26,1995,17,17,1530,17,20,1.18,62,47,74.2,6,6,5,8,47.1,5,4,1,20,,,,,,,,,,,,,,,,,,,
Jasper Cillessen,NED,GK,Valencia,La Liga,32,1989,17,17,1457,16.2,29,1.79,77,49,68.8,4,7,5,3,17.6,6,5,1,16.7,28.6,0.31,1.6,0.1,104,242,43,351,69,49,39.8,94,74.5,54.6,6,3.1,14,0.86,16
Diego Conde,ESP,GK,Getafe,La Liga,22,1998,1,0,6,0.1,0,0,0,0,,0,0,0,1,,0,0,0,,0,,0,0,0,6,0,4,0,100,61,2,100,68,1,20,0,0,5
Andrea Consigli,ITA,GK,Sassuolo,Serie A,34,1987,37,37,3322,36.9,63,1.71,171,108,67.8,13,11,12,3,8.1,9,8,1,11.1,56,0.28,-6,-0.16,186,431,43.2,1219,174,29,30.9,246,31.7,28.8,21,4.3,30,0.81,13.4
